number,name,classification,isWainwright,heightMetres,heightFeet,dropMetres,colMetres,osGridRef,latitude,longitude
2319,Skiddaw,"Ma,F,Sim,Hew,N,W,B,Sy,Fel",True,930.4,3052,705.7,224.7,NY260290,54.651391,-3.147761
2320,Blencathra - Hallsfell Top,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,867.8,2847,461.0,407.0,NY323277,54.639949,-3.049789
2321,Skiddaw Little Man,"Sim,Hew,N,W,B,Sy,Fel",True,865.0,2838,61.0,804.0,NY266277,54.639911,-3.137629
2325,Carl Side,"N,W,B,Sy,Fel,sSim",True,746.8,2450,28.3,718.6,NY254280,54.642398,-3.155984
2326,Long Side,"Sim,Hew,N,W,B,Sy,Fel",True,734.0,2408,40.0,694.0,NY248284,54.645505,-3.165618
2327,Lonscale Fell,"Sim,Hew,N,W,B,Sy,Fel",True,715.0,2346,50.0,665.0,NY285271,54.634357,-3.108518
2328,Knott,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,710.0,2329,242.0,468.0,NY296329,54.686982,-3.093322
2329,Bowscale Fell,"Sim,Hew,N,W,B,Sy,Fel",True,702.0,2303,87.0,615.0,NY333305,54.665538,-3.035037
2330,Ullock Pike,"W,B,Sy,Fel,xN",True,690.4,2265,14.4,676.0,NY244287,54.648261,-3.172486
2331,Great Calva,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",True,691.0,2267,142.0,548.8,NY290311,54.67077,-3.101074
2332,Bannerdale Crags,"Sim,Hew,N,W,B,Sy,Fel",True,684.1,2244,38.0,646.0,NY335290,54.65195,-3.031731
2333,Bakestall,"W,B,Sy,Fel",True,673.0,2208,7.0,666.0,NY266307,54.666457,-3.138898
2336,Carrock Fell,"Sim,Hew,N,W,B,Sy,Fel",True,662.3,2173,89.9,572.4,NY341336,54.693484,-3.02287
2337,High Pike (Caldbeck),"Sim,Hew,N,W,B,Sy,Fel",True,658.0,2159,68.0,589.9,NY318350,54.705416,-3.058742
2338,Great Sca Fell,"W,B,Sy,Fel,xN",True,651.0,2136,13.0,638.0,NY291339,54.695145,-3.100989
2340,Mungrisdale Common,"W,Sy",True,631.8,2073,2.4,629.3,NY311292,54.653232,-3.068359
2344,Brae Fell,"W,B,Sy,Fel",True,586.0,1923,14.0,572.0,NY288351,54.70642,-3.105361
2345,Lord's Seat,"Ma,5,Dew,W,B,Sy,Fel",True,552.0,1811,237.0,315.0,NY204265,54.627823,-3.233984
2346,Meal Fell,"Dew,W,B,Sy,Fel,s5",True,549.4,1802,29.3,520.1,NY283337,54.693795,-3.113923
2347,Great Cockup,"5,Dew,sHu,W,B,Sy,Fel",True,526.0,1726,90.0,436.0,NY273333,54.689677,-3.128766
2348,Souther Fell,"5,Dew,W,B,Sy,Fel",True,522.0,1713,87.0,435.0,NY354291,54.653236,-3.001663
2349,Dodd (Skiddaw),"Hu,5,Dew,W,B,Sy,Fel",True,502.0,1647,110.0,392.0,NY244273,54.63561,-3.172122
2350,Longlands Fell,"4,W,B,Sy,Fel",True,483.0,1585,37.0,446.0,NY275354,54.708411,-3.125313
2351,Binsey,"Ma,4,W,B,Sy,Fel",True,447.0,1467,242.0,205.0,NY225355,54.708795,-3.204188
2352,Latrigg,"3,W,B,Sy,Fel",True,369.0,1211,74.0,295.0,NY279247,54.612432,-3.117863
2359,Scafell Pike,"Ma,F,Sim,Hew,N,W,B,Sy,Fel,CoH,CoU,CoA",True,978.07,3209,912.2,65.9,NY215072,54.454263,-3.211682
2360,Scafell,"Hu,F,Sim,Hew,N,W,B,Sy,Fel",True,963.9,3162,132.2,831.6,NY206064,54.447498,-3.224731
2364,Great End,"Sim,Hew,N,W,B,Sy,Fel",True,909.5,2984,56.1,853.4,NY226083,54.46494,-3.194548
2365,Bowfell,"Hu,Sim,Hew,N,sMa,W,B,Sy,Fel",True,902.9,2962,148.2,754.6,NY244064,54.447816,-3.166242
2367,Great Gable,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,899.0,2949,425.0,474.0,NY211103,54.482084,-3.219296
2368,Pillar,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,892.4,2928,348.7,543.7,NY171121,54.497479,-3.281134
2369,Esk Pike,"Hu,Sim,Hew,N,W,B,Sy,Fel",True,885.0,2904,112.0,773.0,NY236075,54.457172,-3.179219
2371,Crinkle Crags - Long Top [Second Crinkle],"Hu,Sim,Hew,N,W,B,Sy,Fel",True,859.0,2818,139.0,720.0,NY248048,54.433704,-3.159813
2372,Grasmoor,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,851.6,2794,518.2,333.4,NY174203,54.571635,-3.277905
2373,Scoat Fell,"Sim,Hew,N,W,B,Sy,Fel",True,841.0,2759,86.0,755.0,NY159113,54.490904,-3.299224
2374,Crag Hill [Eel Crag],"Hu,Sim,Hew,N,W,B,Sy,Fel",True,839.2,2753,116.7,722.5,NY192203,54.571762,-3.250234
2378,Red Pike (Wasdale),"Sim,Hew,N,W,B,Sy,Fel",True,826.0,2710,62.0,764.0,NY165106,54.483922,-3.289879
2379,Steeple,"N,sSim,W,B,Sy,Fel",True,819.0,2687,24.0,795.0,NY157116,54.493389,-3.302174
2382,Lingmell,"Sim,Hew,N,W,B,Sy,Fel",True,807.0,2648,72.0,735.0,NY209081,54.462803,-3.2213
2383,Kirk Fell,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,802.0,2631,181.0,621.0,NY194104,54.483323,-3.244123
2384,Green Gable,"Sim,Hew,N,W,B,Sy,Fel",True,801.0,2628,50.0,751.0,NY214107,54.485699,-3.213769
2385,Haycock,"Sim,Hew,N,sHu,W,B,Sy,Fel",True,797.0,2615,94.0,703.0,NY144107,54.484568,-3.321576
2386,Grisedale Pike,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,791.0,2595,189.0,602.0,NY198225,54.591745,-3.242071
2388,Allen Crags,"Sim,Hew,N,W,B,Sy,Fel",True,785.0,2575,60.0,725.0,NY236085,54.466367,-3.179175
2389,Glaramara,"Hu,Sim,Hew,N,W,B,Sy,Fel",True,783.0,2569,121.0,662.0,NY245104,54.483839,-3.165338
2393,Sail,"Sim,Hew,N,W,B,Sy,Fel",True,773.0,2536,32.0,741.0,NY198202,54.571328,-3.241821
2394,Wandope,"Sim,Hew,N,W,B,Sy,Fel",True,773.9,2539,30.5,743.4,NY188197,54.566272,-3.257089
2395,Hopegill Head,"Sim,Hew,N,sHu,W,B,Sy,Fel",True,769.6,2525,97.2,672.4,NY185221,54.588082,-3.261675
2396,High Raise [High White Stones],"Ma,Sim,Hew,N,W,B,Sy,Fel",True,762.0,2500,283.0,479.0,NY280095,54.475962,-3.111268
2397,Slight Side,"W,B,Sy,Fel,xN",True,762.0,2500,14.0,748.0,NY209050,54.434392,-3.219575
2399,Red Pike (Buttermere),"Sim,Hew,N,W,B,Sy,Fel",True,755.3,2478,41.3,714.0,NY160154,54.527438,-3.298545
2400,Dale Head,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,753.0,2470,397.0,356.0,NY222153,54.527238,-3.202284
2401,High Crag (Buttermere),"Sim,Hew,N,W,B,Sy,Fel",True,744.8,2444,34.8,710.0,NY180139,54.514628,-3.267412
2405,Robinson,"Ma,Sim,Hew,N,W,B,Sy,Fel",True,737.0,2418,161.0,576.0,NY201168,54.540803,-3.235082
