name,heightMetres,heightFt,gridReference,gridZone,gridEast,gridNorth,latitude,longitude
Allen Crags,785,2575.4593175853,NY236085,NY,23670,8528,54.466367,-3.179175
Angletarn Pikes (Angletarn Pikes North Top),567,1860.23622047244,NY413148,NY,41330,14826,54.525312,-2.907999
Ard Crags,581,1906.16797900262,NY206197,NY,20693,19772,54.566938,-3.228123
Armboth Fell,475,1558.39895013123,NY295157,NY,29583,15740,54.532026,-3.089686
Arnison Crag,433,1420.60367454068,NY393149,NY,39356,14969,54.526364,-2.938524
Arthur's Pike,533,1748.68766404199,NY460206,NY,46073,20679,54.578435,-2.835799
Bakestall,673,2208.00524934383,NY266308,NY,26633,30856,54.667426,-3.139049
Bannerdale Crags,683,2240.81364829396,NY335290,NY,33528,29027,54.65195,-3.031747
Barf,469,1538.71391076115,NY214267,NY,21463,26740,54.629665,-3.218084
Barrow,455,1492.78215223097,NY227218,NY,22707,21821,54.58566,-3.19752
Base Brown,646,2119.42257217848,NY225114,NY,22514,11465,54.492581,-3.197777
Baystones (Wansfell),486.9,1597.4,NY403051,NY,40313,5144,54.438194,-2.921751
Beda Fell (Beda Head),509,1669.94750656168,NY428171,NY,42887,17163,54.54649,-2.884399
Binsey,447,1466.53543307087,NY225355,NY,22511,35529,54.708795,-3.204188
Birkhouse Moor,718,2355.64304461942,NY363159,NY,36341,15976,54.535042,-2.98532
Birks,622,2040.68241469816,NY380143,NY,38019,14357,54.520702,-2.959051
Black Fell,323,1059.71128608924,NY340015,NY,34021,1593,54.405503,-3.017955
Blake Fell,573,1879.92125984252,NY110196,NY,11049,19687,54.564569,-3.377198
Blea Rigg,541,1774.9343832021,NY301078,NY,30166,7835,54.461076,-3.078806
Bleaberry Fell,590,1935.69553805774,NY285195,NY,28577,19578,54.56637,-3.106162
Blencathra-Hallsfell Top,868,2847.76902887139,NY323277,NY,32345,27709,54.63995,-3.049773
Bonscale Pike,524,1719.16010498688,NY453200,NY,45347,20086,54.573028,-2.846919
Bowfell,902,2959.31758530184,NY244064,NY,24476,6452,54.447834,-3.166212
Bowscale Fell,702,2303.14960629921,NY333305,NY,33338,30542,54.665538,-3.035037
Brae Fell,586,1922.57217847769,NY288351,NY,28874,35160,54.70642,-3.105361
Brandreth,715,2345.80052493438,NY214119,NY,21453,11917,54.496479,-3.214274
Branstree,713,2339.23884514436,NY478099,NY,47801,9972,54.482402,-2.807168
Brim Fell,796,2611.54855643045,SD270985,SD,27075,98558,54.377283,-3.124197
Brock Crags,561,1840.55118110236,NY416136,NY,41665,13663,54.5149,-2.902593
Broom Fell,511,1676.50918635171,NY194271,NY,19443,27192,54.633407,-3.249491
